INSCRICAO;MATRICULA;ENDERECO
60.010.124.000.003;1581554;RUA JUVINA TOJAL - S/N -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.003.000;1581562;RUA JUVINA TOJAL - S/N -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.047.000;7981643;RUA JUVINA TOJAL - 538 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.055.000;7788037;RUA JUVINA TOJAL - 530 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.060.000;7867492;RUA JUVINA TOJAL - 524 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.424.070.000;1584103;RUA JUVINA TOJAL - 516 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.100.000;1581570;RUA JUVINA TOJAL - 480 - REL.15.05.09 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.105.000;1581589;RUA JUVINA TOJAL - 476 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.110.000;1581597;RUA JUVINA TOJAL - 470 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.115.000;1581600;RUA JUVINA TOJAL - 464 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.120.000;1581619;RUA JUVINA TOJAL - 458 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.125.000;1581627;RUA JUVINA TOJAL - 452 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.130.000;1581635;RUA JUVINA TOJAL - 446 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.135.000;1581643;RUA JUVINA TOJAL - 440 - REL.15.05.09 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.140.002;1581651;RUA JUVINA TOJAL - 434 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.145.001;1581660;RUA JUVINA TOJAL - 430 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.150.000;1581678;RUA JUVINA TOJAL - 424 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.155.000;1581686;RUA JUVINA TOJAL - 418 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.160.000;1581694;RUA JUVINA TOJAL - 414 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.165.000;1581708;RUA JUVINA TOJAL - 404 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.170.000;1581716;RUA JUVINA TOJAL - 400 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.175.000;1581724;RUA JUVINA TOJAL - 398 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.124.180.000;1581732;RUA JUVINA TOJAL - 392 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
